"","grav_moist_percent","yvar","SE","df","LCL","UCL","tvar","xvar"
"1",0,0.897944545466697,0.066646590774986,Inf,0.679000078907817,0.973403099229119,"1",0
"2",5,0.879883038400693,0.0719152037813432,Inf,0.658739095555095,0.965275425256016,"1",5
"3",10,0.859126530605811,0.076967962927839,Inf,0.636825688311423,0.954976198739091,"1",10
"4",15,0.835454006116938,0.081700601767251,Inf,0.613002942537753,0.942112198226024,"1",15
"5",20,0.808689338821886,0.0860456344901514,Inf,0.586967235604958,0.926326963323464,"1",20
"6",25,0.778724241985307,0.0899970971106821,Inf,0.558377411560247,0.907368142183301,"1",25
"7",30,0.745542508849537,0.0936303291982975,Inf,0.526884836344362,0.885168639269795,"1",30
"8",35,0.709242811681283,0.097105230714874,Inf,0.492197322884609,0.859920772957096,"1",35
"9",40,0.670056473170715,0.100640096101108,Inf,0.454185957661878,0.832109575178817,"1",40
"10",45,0.628356250854434,0.104449967820844,Inf,0.41302522358134,0.802471947833912,"1",45
"11",50,0.584652617022483,0.10866117412351,Inf,0.369322434105411,0.77187517825371,"1",50
"12",55,0.539575463007338,0.11323455964423,Inf,0.324162964693499,0.741153583350379,"1",55
"13",60,0.493841497571127,0.117935566794843,Inf,0.279010853765881,0.710970645853252,"1",60
"14",65,0.44821036480309,0.122368995155989,Inf,0.235472527376528,0.681756409775988,"1",65
"15",70,0.403434926087938,0.126063651294106,Inf,0.195008922039947,0.653721855961906,"1",70
"16",75,0.360212475005263,0.128572142821971,Inf,0.158704910558371,0.626916658764623,"1",75
"17",80,0.319143439212547,0.12955323062046,Inf,0.12716277162891,0.601293870635338,"1",80
"18",85,0.280702442745557,0.128819144678855,Inf,0.100520803017055,0.576761101594869,"1",85
"19",90,0.245224012365066,0.12634570013501,Inf,0.078553797706955,0.553213448172202,"1",90
"20",95,0.212902501246814,0.122253002519096,Inf,0.060802570251231,0.530551401936637,"1",95
"21",100,0.183803670968364,0.11676855388062,Inf,0.0466934654116554,0.508688822786353,"1",100
"22",105,0.15788420035154,0.110184272638974,Inf,0.0356288028535046,0.487555206345242,"1",105
"23",110,0.135015194743801,0.102816212900432,Inf,0.0270449144710494,0.467095053905541,"1",110
"24",115,0.115006306727855,0.094972223829655,Inf,0.02044292444807,0.447265988034953,"1",115
"25",120,0.0976280024384762,0.0869295508306507,Inf,0.0154001475287068,0.428036490397586,"1",120
"26",125,0.082630503873031,0.0789220299661544,Inf,0.0115694647522301,0.409383688750617,"1",125
"27",130,0.0697587981306428,0.0711351881490175,Inf,0.00867227950126544,0.391291375648823,"1",130
"28",135,0.0587637338550494,0.0637070685512972,Inf,0.00648879259764213,0.37374831673209,"1",135
"29",140,0.0494096139750562,0.0567326741523621,Inf,0.00484782975973969,0.356746847369904,"1",140
"30",145,0.0414788819206265,0.0502702926003803,Inf,0.00361740156254011,0.340281731471255,"1",145
"31",150,0.0347745433319483,0.0443484313676057,Inf,0.0026965100521291,0.324349248210358,"1",150
"32",155,0.0291209221120507,0.0389725317393539,Inf,0.00200833115151261,0.308946472197207,"1",155
"33",160,0.0243632621526338,0.0341309865873877,Inf,0.00149470118748491,0.29407071563744,"1",160
"34",165,0.020366584154711,0.0298002461094719,Inf,0.00111174678447028,0.279719105048868,"1",165
"35",170,0.0170141086663509,0.0259489669292396,Inf,0.000826471234244053,0.265888269123829,"1",170
"36",175,0.0142054708663298,0.0225412616388355,Inf,0.000614116772068128,0.252574117947152,"1",175
"37",180,0.0118548829821384,0.0195391577183238,Inf,0.000456143044573506,0.239771696888551,"1",180
"38",185,0.00988934637990205,0.0169043937632752,Inf,0.000338687535684687,0.227475101102785,"1",185
"39",190,0.00824697543700559,0.0145996801086608,Inf,0.000251398759476884,0.215677438755231,"1",190
"40",195,0.00687546681515998,0.0125895394132129,Inf,0.000186555352020132,0.20437083291924,"1",195
"41",200,0.00573072818546661,0.0108408265591242,Inf,0.000138403034015691,0.19354645363296,"1",200
"42",205,0.00477566759192612,0.00932300997082113,Inf,0.000102656779302095,0.18319457291426,"1",205
"43",210,0.00397913663991686,0.00800828018269233,Inf,7.61277669379234e-05,0.173304636657608,"1",210
"44",215,0.00331501612109252,0.00687153715500598,Inf,5.64442935251784e-05,0.163865348310426,"1",215
"45",220,0.00276143044737377,0.00589029577487999,Inf,4.18432605078371e-05,0.15486476007391,"1",220
"46",225,0.00230007656612447,0.00504453914908464,Inf,3.10145645306484e-05,0.146290368113697,"1",225
"47",230,0.00191565329634383,0.00431654148012952,Inf,2.29850783945186e-05,0.138129208913098,"1",230
"48",235,0.00159537786496738,0.00369067622661354,Inf,1.70322194863867e-05,0.130367954466852,"1",235
"49",240,0.00132857756394545,0.00315322058301344,Inf,1.2619604651801e-05,0.122993004505121,"1",240
"50",245,0.00110634571532736,0.00269216379469615,Inf,9.34917619305031e-06,0.115990574362782,"1",245
"51",250,0.000921252410565178,0.00229702420873008,Inf,6.92560120735972e-06,0.109346777474333,"1",250
"52",255,0.000767101713832872,0.00195867804753254,Inf,5.1298098432398e-06,0.103047701785371,"1",255
"53",260,0.000638728149727501,0.00166920151595399,Inf,3.7993343671707e-06,0.0970794796330149,"1",260
